Metric,Avg_Diff,p-value,Test Used,Significant
Age,-1.2625000000000028,0.020277668024525065,Mann-Whitney U Test,True
Min,-261.35144927536226,0.04956033601955676,Mann-Whitney U Test,True
90s,-2.732499999999998,0.00020166922774697625,Mann-Whitney U Test,True
Sh,-6.46875,0.014387179680208277,Mann-Whitney U Test,True
npxG+xAG.1,0.09566939890710374,0.028610872462872364,Mann-Whitney U Test,True
TO,-2.2592592592592595,0.03631128843654835,Mann-Whitney U Test,True
Mn/Start,12.291666666666657,0.00017401805955716965,T-Test (Equal Var),True
PPM,0.8530555555555555,4.693673682183032e-05,Welch’s T-Test,True
+/-,7.12037037037037,0.0022436992546208006,Mann-Whitney U Test,True
+/-90,1.0180555555555557,5.4670657944136026e-05,Mann-Whitney U Test,True
xG+/-90,0.41481481481481475,0.024280564251889444,Mann-Whitney U Test,True
