Metric,Avg_Diff,p-value,Test Used,Significant
Cmp,-348.1515151515152,0.026570520571751174,Mann-Whitney U Test,True
TotDist,-4456.535353535354,0.03754785241195765,Mann-Whitney U Test,True
TB,-1.8888888888888888,0.023385190618173707,Welch’s T-Test,True
SCA,-24.313131313131315,0.028995679325246167,T-Test (Equal Var),True
PassLive,-16.02020202020202,0.019994958556509526,T-Test (Equal Var),True
Sh,-1.7070707070707076,0.026970662376446842,Mann-Whitney U Test,True
Mn/Start,3.9659090909090935,0.0392697104007632,Mann-Whitney U Test,True
Subs,-2.9393939393939394,0.023075216261135362,Mann-Whitney U Test,True
PPM,0.2491919191919192,0.04400314780058814,Mann-Whitney U Test,True
onGA,-13.636363636363637,0.017730157284358415,T-Test (Equal Var),True
+/-90,0.9812121212121212,0.009681571747695421,Mann-Whitney U Test,True
