Metric,Avg_Diff,p-value,Test Used,Significant
Cmp%,-11.099999999999994,0.004051675996687613,T-Test (Equal Var),True
Cmp%.2,-4.388571428571439,0.03246675105710634,Mann-Whitney U Test,True
Str,0.5,0.04403578259426583,Mann-Whitney U Test,True
PassDead.1,0.9,0.013108880329368702,Mann-Whitney U Test,True
TklW,10.333333333333334,0.0436409115364602,Mann-Whitney U Test,True
Lost,8.694444444444445,0.033768777679024226,Mann-Whitney U Test,True
Int,12.47142857142857,0.03687802556867048,Mann-Whitney U Test,True
PPM,0.842571428571429,0.0005448193015607921,Mann-Whitney U Test,True
+/-,9.67142857142857,0.01616251837830244,Welch’s T-Test,True
+/-90,0.8845714285714286,0.0020044518128686435,Mann-Whitney U Test,True
