Metric,Avg_Diff,p-value,Test Used,Significant
Age,-1.0314157673312607,0.0002049047375924225,Mann-Whitney U Test,True
90s,-1.9175096030729826,0.0003808039755388434,Mann-Whitney U Test,True
CrdY,-0.6224489795918366,0.044765592384580125,Mann-Whitney U Test,True
Sh,-3.122742200328407,0.000193633583029447,Mann-Whitney U Test,True
Fld,-4.402509652509652,0.004873976848827668,Mann-Whitney U Test,True
Cmp%.2,-5.289532019704438,0.038527927977927014,T-Test (Equal Var),True
Cmp%.3,-6.725674325674326,0.03087621896086197,Mann-Whitney U Test,True
Sw,-2.3224637681159424,0.02026274400415231,Mann-Whitney U Test,True
Mn/Start,7.335497835497833,0.000939332086690804,Mann-Whitney U Test,True
Subs,-2.3695652173913047,0.007675116403720298,Mann-Whitney U Test,True
PPM,0.5804503105590062,8.33896349176248e-09,Mann-Whitney U Test,True
onGA,-6.2318840579710155,0.01595263185201867,Mann-Whitney U Test,True
+/-,9.849896480331264,6.74349508404089e-06,Mann-Whitney U Test,True
+/-90,0.8240942028985507,5.682508995340623e-09,Mann-Whitney U Test,True
