Metric,Mean,Std,Sheet,Year
Age,23.071428571428573,3.8523576340546763,standard_stats_2018,2018
MP,13.357142857142858,12.701345433621423,standard_stats_2018,2018
Starts,8.0,9.429903335828895,standard_stats_2018,2018
Min,803.4615384615385,843.3523003846628,standard_stats_2018,2018
90s,8.915384615384614,9.376019602674878,standard_stats_2018,2018
Gls,3.6923076923076925,5.750139351711623,standard_stats_2018,2018
Ast,1.6923076923076923,2.3588350014578303,standard_stats_2018,2018
G+A,5.384615384615385,7.5887906539674415,standard_stats_2018,2018
G-PK,3.5384615384615383,5.562004803656452,standard_stats_2018,2018
PK,0.15384615384615385,0.5547001962252291,standard_stats_2018,2018
PKatt,0.23076923076923078,0.599144689515278,standard_stats_2018,2018
CrdY,1.9230769230769231,2.361550989693654,standard_stats_2018,2018
CrdR,0.07692307692307693,0.2773500981126146,standard_stats_2018,2018
xG,3.523076923076923,4.941854214454639,standard_stats_2018,2018
npxG,3.338461538461538,4.668429154354896,standard_stats_2018,2018
xAG,1.8692307692307693,2.2291196376539233,standard_stats_2018,2018
npxG+xAG,5.223076923076923,6.376670218611205,standard_stats_2018,2018
PrgC,17.23076923076923,18.051564318888666,standard_stats_2018,2018
PrgP,34.61538461538461,39.231234285830766,standard_stats_2018,2018
PrgR,72.84615384615384,80.61621647642835,standard_stats_2018,2018
Gls.1,0.33153846153846156,0.324521343772798,standard_stats_2018,2018
Ast.1,0.15846153846153846,0.2532405363103807,standard_stats_2018,2018
G+A.1,0.49,0.34734708865916814,standard_stats_2018,2018
G-PK.1,0.32538461538461544,0.32222185381647084,standard_stats_2018,2018
G+A-PK,0.48307692307692307,0.3465156229134221,standard_stats_2018,2018
xG.1,0.31153846153846143,0.2390552988273548,standard_stats_2018,2018
xAG.1,0.16692307692307692,0.1595506510685878,standard_stats_2018,2018
xG+xAG,0.47769230769230775,0.23434852414562113,standard_stats_2018,2018
npxG.1,0.30076923076923073,0.22735660456873835,standard_stats_2018,2018
npxG+xAG.1,0.46692307692307694,0.22403067555525424,standard_stats_2018,2018
Sh,22.076923076923077,26.815609690568724,shooting_2018,2018
SoT,9.461538461538462,11.997328762516155,shooting_2018,2018
SoT%,37.6,27.568427264140077,shooting_2018,2018
Sh/90,1.9684615384615383,1.074079808905016,shooting_2018,2018
SoT/90,0.7884615384615385,0.6438794679369495,shooting_2018,2018
G/Sh,0.18666666666666668,0.2686441828324168,shooting_2018,2018
G/SoT,0.43000000000000005,0.3287687468250121,shooting_2018,2018
Dist,17.325,6.603322166634279,shooting_2018,2018
FK,0.38461538461538464,0.7679476477883045,shooting_2018,2018
npxG/Sh,0.15750000000000003,0.1353194872749806,shooting_2018,2018
