Metric,Mean,Std,Sheet,Year
Age,27.333333333333332,5.507570547286101,standard_stats_2018,2018
MP,11.333333333333334,17.097758137642877,standard_stats_2018,2018
Starts,11.333333333333334,17.097758137642877,standard_stats_2018,2018
Min,1530.0,1781.9090885900998,standard_stats_2018,2018
90s,17.0,19.79898987322333,standard_stats_2018,2018
Gls,0.0,0.0,standard_stats_2018,2018
Ast,0.0,0.0,standard_stats_2018,2018
G+A,0.0,0.0,standard_stats_2018,2018
G-PK,0.0,0.0,standard_stats_2018,2018
PK,0.0,0.0,standard_stats_2018,2018
PKatt,0.0,0.0,standard_stats_2018,2018
CrdY,1.0,0.0,standard_stats_2018,2018
CrdR,0.0,0.0,standard_stats_2018,2018
xG,0.0,0.0,standard_stats_2018,2018
npxG,0.0,0.0,standard_stats_2018,2018
xAG,0.15,0.21213203435596426,standard_stats_2018,2018
npxG+xAG,0.15,0.21213203435596426,standard_stats_2018,2018
PrgC,0.0,0.0,standard_stats_2018,2018
PrgP,0.0,0.0,standard_stats_2018,2018
PrgR,0.0,0.0,standard_stats_2018,2018
Gls.1,0.0,0.0,standard_stats_2018,2018
Ast.1,0.0,0.0,standard_stats_2018,2018
G+A.1,0.0,0.0,standard_stats_2018,2018
G-PK.1,0.0,0.0,standard_stats_2018,2018
G+A-PK,0.0,0.0,standard_stats_2018,2018
xG.1,0.0,0.0,standard_stats_2018,2018
xAG.1,0.005,0.007071067811865475,standard_stats_2018,2018
xG+xAG,0.005,0.007071067811865475,standard_stats_2018,2018
npxG.1,0.0,0.0,standard_stats_2018,2018
npxG+xAG.1,0.005,0.007071067811865475,standard_stats_2018,2018
GA,16.5,19.091883092036785,goalkeeping_2018,2018
GA90,0.985,0.021213203435596444,goalkeeping_2018,2018
SoTA,64.0,69.29646455628166,goalkeeping_2018,2018
Saves,47.5,50.204581464244875,goalkeeping_2018,2018
Save%,77.6,3.394112549695426,goalkeeping_2018,2018
W,11.0,14.142135623730951,goalkeeping_2018,2018
D,2.5,2.1213203435596424,goalkeeping_2018,2018
