Metric,Mean,Std,Sheet,Year
Age,23.545454545454547,3.5878583127998898,standard_stats_2018,2018
MP,14.363636363636363,12.651266555351107,standard_stats_2018,2018
Starts,12.636363636363637,12.249675320372596,standard_stats_2018,2018
Min,1134.3636363636363,1112.7950640371544,standard_stats_2018,2018
90s,12.6,12.369155185379476,standard_stats_2018,2018
Gls,0.6363636363636364,1.0269106361049412,standard_stats_2018,2018
Ast,0.9090909090909091,0.9438798074485388,standard_stats_2018,2018
G+A,1.5454545454545454,1.6348477827391983,standard_stats_2018,2018
G-PK,0.6363636363636364,1.0269106361049412,standard_stats_2018,2018
PK,0.0,0.0,standard_stats_2018,2018
PKatt,0.0,0.0,standard_stats_2018,2018
CrdY,1.5454545454545454,1.9679246105293955,standard_stats_2018,2018
CrdR,0.09090909090909091,0.3015113445777636,standard_stats_2018,2018
xG,0.7454545454545454,1.0994213353975228,standard_stats_2018,2018
npxG,0.7454545454545454,1.0994213353975228,standard_stats_2018,2018
xAG,0.7909090909090909,0.9289290020820165,standard_stats_2018,2018
npxG+xAG,1.5545454545454547,1.6955020709887891,standard_stats_2018,2018
PrgC,12.272727272727273,20.18955625609889,standard_stats_2018,2018
PrgP,44.0,42.5746403390563,standard_stats_2018,2018
PrgR,26.90909090909091,42.749162671225605,standard_stats_2018,2018
Gls.1,0.022727272727272728,0.03552208020116758,standard_stats_2018,2018
Ast.1,0.13454545454545455,0.2587803561464292,standard_stats_2018,2018
G+A.1,0.15727272727272726,0.2539327040414806,standard_stats_2018,2018
G-PK.1,0.022727272727272728,0.03552208020116758,standard_stats_2018,2018
G+A-PK,0.15727272727272726,0.2539327040414806,standard_stats_2018,2018
xG.1,0.035454545454545454,0.03327570776516598,standard_stats_2018,2018
xAG.1,0.08545454545454545,0.1413056004809177,standard_stats_2018,2018
xG+xAG,0.12090909090909091,0.14577067918168904,standard_stats_2018,2018
npxG.1,0.035454545454545454,0.03327570776516598,standard_stats_2018,2018
npxG+xAG.1,0.12090909090909091,0.14577067918168904,standard_stats_2018,2018
Tkl,27.272727272727273,23.6984848000496,defensive_action_2018,2018
TklW,19.818181818181817,17.662492359903126,defensive_action_2018,2018
Def 3rd,14.818181818181818,12.488540201466156,defensive_action_2018,2018
Mid 3rd,10.363636363636363,9.468608422283893,defensive_action_2018,2018
Att 3rd,2.090909090909091,2.809076198843508,defensive_action_2018,2018
Tkl.1,12.0,10.816653826391969,defensive_action_2018,2018
Att,19.363636363636363,18.391697731708877,defensive_action_2018,2018
Tkl%,65.69090909090909,20.298938619812347,defensive_action_2018,2018
Lost,7.363636363636363,9.415654276498552,defensive_action_2018,2018
Blocks,13.727272727272727,14.683942992881097,defensive_action_2018,2018
Sh,5.818181818181818,8.268230546110598,defensive_action_2018,2018
Pass,7.909090909090909,9.104444469099095,defensive_action_2018,2018
Int,26.454545454545453,24.925343072317524,defensive_action_2018,2018
Tkl+Int,53.72727272727273,47.47650136455067,defensive_action_2018,2018
Clr,46.27272727272727,53.03789382901796,defensive_action_2018,2018
Err,0.45454545454545453,0.8201995322647243,defensive_action_2018,2018
Touches,675.8181818181819,642.8920310879298,possession_2018,2018
Def Pen,53.09090909090909,62.48272488529057,possession_2018,2018
Def 3rd,264.6363636363636,273.43345542463254,possession_2018,2018
Mid 3rd,309.3636363636364,293.1314629060732,possession_2018,2018
Att 3rd,110.54545454545455,159.95209510122936,possession_2018,2018
Att Pen,14.636363636363637,16.40897758711814,possession_2018,2018
