Metric,Mean,Std,Sheet,Year
Age,22.4,2.7968235951204043,standard_stats_2018,2018
MP,18.3,11.411982007229652,standard_stats_2018,2018
Starts,13.6,11.51038178727747,standard_stats_2018,2018
Min,1215.0,975.4986189408755,standard_stats_2018,2018
90s,13.5,10.852137526261307,standard_stats_2018,2018
Gls,1.5,2.0138409955990952,standard_stats_2018,2018
Ast,3.0,3.0912061651652345,standard_stats_2018,2018
G+A,4.5,4.927248499698161,standard_stats_2018,2018
G-PK,1.3,1.5670212364724212,standard_stats_2018,2018
PK,0.2,0.6324555320336759,standard_stats_2018,2018
PKatt,0.3,0.9486832980505139,standard_stats_2018,2018
CrdY,2.5,2.0138409955990952,standard_stats_2018,2018
CrdR,0.0,0.0,standard_stats_2018,2018
xG,1.8900000000000001,2.1604783420961815,standard_stats_2018,2018
npxG,1.6500000000000004,1.5700318468107584,standard_stats_2018,2018
xAG,2.7800000000000002,2.457550722885604,standard_stats_2018,2018
npxG+xAG,4.4399999999999995,3.793034551795055,standard_stats_2018,2018
PrgC,20.0,15.783254135668953,standard_stats_2018,2018
PrgP,88.8,91.17845749469066,standard_stats_2018,2018
PrgR,65.7,61.454680682416516,standard_stats_2018,2018
Gls.1,0.11999999999999997,0.14476033833738974,standard_stats_2018,2018
Ast.1,0.16999999999999998,0.14368174708168202,standard_stats_2018,2018
G+A.1,0.29100000000000004,0.22956238561421355,standard_stats_2018,2018
G-PK.1,0.11299999999999999,0.1410319112825179,standard_stats_2018,2018
G+A-PK,0.28300000000000003,0.2187362694103462,standard_stats_2018,2018
xG.1,0.17099999999999999,0.16616257099599774,standard_stats_2018,2018
xAG.1,0.186,0.12465062285354926,standard_stats_2018,2018
xG+xAG,0.356,0.19248087928126492,standard_stats_2018,2018
npxG.1,0.16199999999999998,0.1632176461048253,standard_stats_2018,2018
npxG+xAG.1,0.347,0.18541544943420676,standard_stats_2018,2018
Cmp,480.6,458.1889954544473,passing_2018,2018
Att,673.0,604.4317809130968,passing_2018,2018
Cmp%,64.3,9.513265591910184,passing_2018,2018
TotDist,7309.7,7185.64185720385,passing_2018,2018
PrgDist,3052.7,3089.284996384906,passing_2018,2018
Cmp.1,268.7,249.1073173464713,passing_2018,2018
Att.1,325.7,290.22062488925746,passing_2018,2018
Cmp%.1,77.09,9.178773822733017,passing_2018,2018
Cmp.2,153.3,158.28809880159096,passing_2018,2018
Att.2,208.3,201.3604010502341,passing_2018,2018
Cmp%.2,65.19,10.968181253061054,passing_2018,2018
Cmp.3,35.4,36.329357580642984,passing_2018,2018
Att.3,81.7,80.41151106098623,passing_2018,2018
Cmp%.3,40.81,9.178894874172551,passing_2018,2018
xA,2.4200000000000004,2.3049704746241084,passing_2018,2018
A-xAG,0.21999999999999997,1.2541486709672376,passing_2018,2018
KP,20.7,20.472474745917314,passing_2018,2018
1/3,66.4,73.91316226191081,passing_2018,2018
PPA,17.0,20.714997251052463,passing_2018,2018
CrsPA,3.0,4.594682917363407,passing_2018,2018
Tkl,31.9,24.278248152066766,defensive_action_2018,2018
TklW,22.0,17.537261917287875,defensive_action_2018,2018
Def 3rd,9.4,7.321202087089251,defensive_action_2018,2018
Mid 3rd,17.0,12.987173159185437,defensive_action_2018,2018
Att 3rd,5.5,5.060742150229659,defensive_action_2018,2018
Tkl.1,10.8,11.173381065928275,defensive_action_2018,2018
Att,29.6,22.237106126672348,defensive_action_2018,2018
Tkl%,27.689999999999998,18.05395924567363,defensive_action_2018,2018
Lost,18.8,13.273197722394471,defensive_action_2018,2018
Blocks,21.9,17.278438715475552,defensive_action_2018,2018
Sh,2.1,2.806737924669451,defensive_action_2018,2018
Pass,19.8,15.127605377072884,defensive_action_2018,2018
Int,21.4,23.305697920370367,defensive_action_2018,2018
Tkl+Int,53.3,45.3334558821873,defensive_action_2018,2018
Clr,12.3,15.951663096854684,defensive_action_2018,2018
Err,0.0,0.0,defensive_action_2018,2018
Touches,832.5,708.9101572915366,possession_2018,2018
Def Pen,15.7,21.071571159054823,possession_2018,2018
Def 3rd,119.3,121.32147377937675,possession_2018,2018
Mid 3rd,439.6,413.48604705734766,possession_2018,2018
Att 3rd,283.0,231.66786570433112,possession_2018,2018
Att Pen,24.3,23.209432948216932,possession_2018,2018
Live,832.2,708.5516996741388,possession_2018,2018
Att,21.4,20.656986980465255,possession_2018,2018
Succ,11.3,12.320263344948795,possession_2018,2018
Succ%,50.925,5.643643706482036,possession_2018,2018
Tkld,10.1,8.812238963825003,possession_2018,2018
Tkld%,49.075,5.643643706482036,possession_2018,2018
Carries,422.0,363.52563718242607,possession_2018,2018
TotDist,2028.7,1693.0304880105773,possession_2018,2018
PrgDist,958.6,802.0796857059916,possession_2018,2018
1/3,22.4,19.19027531503044,possession_2018,2018
CPA,3.7,3.529242915351047,possession_2018,2018
Mis,26.2,17.706244974898294,possession_2018,2018
Dis,19.4,15.10114050144705,possession_2018,2018
Rec,522.2,443.9516490189745,possession_2018,2018
Age,21.0,4.227883631321941,standard_stats_2024,2024
MP,13.823529411764707,11.125619612619598,standard_stats_2024,2024
Starts,9.411764705882353,9.79195347932048,standard_stats_2024,2024
Min,1027.5714285714287,836.5296182430137,standard_stats_2024,2024
90s,11.421428571428573,9.29020812646127,standard_stats_2024,2024
Gls,2.5714285714285716,3.9363060722593075,standard_stats_2024,2024
Ast,1.2142857142857142,1.8050600428356278,standard_stats_2024,2024
G+A,3.7857142857142856,5.479732888332471,standard_stats_2024,2024
G-PK,2.0714285714285716,3.0499504589743425,standard_stats_2024,2024
PK,0.5,1.4005493427717788,standard_stats_2024,2024
PKatt,0.5714285714285714,1.5045717874984443,standard_stats_2024,2024
CrdY,1.9285714285714286,2.4007782620925786,standard_stats_2024,2024
CrdR,0.07142857142857142,0.2672612419124244,standard_stats_2024,2024
xG,2.235714285714286,3.5367536489874967,standard_stats_2024,2024
npxG,1.7785714285714285,2.7465162749111185,standard_stats_2024,2024
xAG,1.6214285714285714,1.834363679832903,standard_stats_2024,2024
npxG+xAG,3.414285714285714,4.514056191132681,standard_stats_2024,2024
PrgC,22.214285714285715,22.824341161368697,standard_stats_2024,2024
PrgP,53.857142857142854,53.11070751503177,standard_stats_2024,2024
PrgR,50.07142857142857,54.72513736246498,standard_stats_2024,2024
Gls.1,0.2657142857142857,0.3554783188393283,standard_stats_2024,2024
Ast.1,0.10500000000000001,0.1629889094858439,standard_stats_2024,2024
G+A.1,0.37,0.4851962331009842,standard_stats_2024,2024
G-PK.1,0.23714285714285716,0.3390581654531263,standard_stats_2024,2024
G+A-PK,0.34142857142857147,0.4638775890064291,standard_stats_2024,2024
xG.1,0.16214285714285714,0.17867799018296623,standard_stats_2024,2024
xAG.1,0.1364285714285714,0.16055706595653593,standard_stats_2024,2024
xG+xAG,0.2978571428571429,0.32287598408506807,standard_stats_2024,2024
npxG.1,0.13714285714285715,0.14865699142287622,standard_stats_2024,2024
npxG+xAG.1,0.2721428571428572,0.2976621360750259,standard_stats_2024,2024
Cmp,342.2857142857143,339.0079256099681,passing_2024,2024
Att,439.85714285714283,409.60747761031627,passing_2024,2024
Cmp%,75.39999999999999,7.450348468876627,passing_2024,2024
TotDist,5868.571428571428,6042.554957762686,passing_2024,2024
PrgDist,1814.857142857143,1834.1236371857585,passing_2024,2024
Cmp.1,161.71428571428572,147.86294515344454,passing_2024,2024
Att.1,191.57142857142858,168.07814770595178,passing_2024,2024
Cmp%.1,81.05,7.005574703268597,passing_2024,2024
Cmp.2,144.85714285714286,157.62851027890625,passing_2024,2024
Att.2,172.42857142857142,178.79154784949307,passing_2024,2024
Cmp%.2,81.175,8.028033269849981,passing_2024,2024
Cmp.3,29.285714285714285,31.48730775170449,passing_2024,2024
Att.3,52.857142857142854,51.42112278171168,passing_2024,2024
Cmp%.3,61.65833333333334,22.00113461261542,passing_2024,2024
xA,1.4285714285714286,1.524380616426312,passing_2024,2024
A-xAG,-0.4071428571428571,1.12418468624653,passing_2024,2024
KP,14.642857142857142,14.55285931649565,passing_2024,2024
1/3,46.642857142857146,53.0712252077804,passing_2024,2024
PPA,12.285714285714286,12.250140165154605,passing_2024,2024
CrsPA,2.642857142857143,3.5864519183501353,passing_2024,2024
Tkl,17.642857142857142,16.42515492425305,defensive_action_2024,2024
TklW,11.285714285714286,10.469211794800772,defensive_action_2024,2024
Def 3rd,6.071428571428571,7.819741149702569,defensive_action_2024,2024
Mid 3rd,8.214285714285714,9.447658003878091,defensive_action_2024,2024
Att 3rd,3.357142857142857,2.817722562560132,defensive_action_2024,2024
Tkl.1,7.285714285714286,6.533094112387995,defensive_action_2024,2024
Att,17.428571428571427,15.011351016502788,defensive_action_2024,2024
Tkl%,44.11428571428571,30.929643663366978,defensive_action_2024,2024
Lost,10.142857142857142,9.355024506460873,defensive_action_2024,2024
Blocks,12.857142857142858,12.690742494233545,defensive_action_2024,2024
Sh,2.0714285714285716,3.384677821601925,defensive_action_2024,2024
Pass,10.785714285714286,10.070356890998845,defensive_action_2024,2024
Int,8.928571428571429,9.817286838995837,defensive_action_2024,2024
Tkl+Int,26.571428571428573,25.16320355572424,defensive_action_2024,2024
Clr,10.571428571428571,11.972495952835372,defensive_action_2024,2024
Err,0.2857142857142857,0.6112498455021267,defensive_action_2024,2024
Touches,560.3571428571429,491.9228531046239,possession_2024,2024
Def Pen,14.071428571428571,18.549162476279854,possession_2024,2024
Def 3rd,91.28571428571429,105.42764822848423,possession_2024,2024
Mid 3rd,289.5,300.0317290913387,possession_2024,2024
Att 3rd,185.28571428571428,170.36044528786994,possession_2024,2024
Att Pen,25.428571428571427,35.12333058877463,possession_2024,2024
Live,559.7857142857143,491.59382523684025,possession_2024,2024
Att,23.214285714285715,24.093339556587228,possession_2024,2024
Succ,10.857142857142858,11.51492104156197,possession_2024,2024
Succ%,41.93076923076923,20.979966023780268,possession_2024,2024
Tkld,10.642857142857142,11.744767364216306,possession_2024,2024
Tkld%,48.56923076923078,25.44973426892655,possession_2024,2024
Carries,324.64285714285717,274.8461407749818,possession_2024,2024
TotDist,1795.2857142857142,1469.2431556925662,possession_2024,2024
PrgDist,858.7142857142857,690.5487704685343,possession_2024,2024
1/3,15.857142857142858,13.993719156256345,possession_2024,2024
CPA,6.142857142857143,8.328423462014728,possession_2024,2024
Mis,21.571428571428573,19.409412013898688,possession_2024,2024
Dis,9.785714285714286,9.625115954774632,possession_2024,2024
Rec,373.14285714285717,321.3021240904812,possession_2024,2024
